"name","ingredients","diet","prep_time","cook_time","flavor_profile","course","state","region"
"Adhirasam","Rice flour","vegetarian",10,50,"sweet","dessert","West Bengal","East"
"Adhirasam","jaggery","vegetarian",10,50,"sweet","dessert","West Bengal","East"
"Adhirasam","ghee","vegetarian",10,50,"sweet","dessert","West Bengal","East"
"Adhirasam","vegetable oil","vegetarian",10,50,"sweet","dessert","West Bengal","East"
"Adhirasam","elachi","vegetarian",10,50,"sweet","dessert","West Bengal","East"
"Ariselu","Rice flour","vegetarian",15,75,"sweet","dessert","Andhra Pradesh","South"
"Ariselu","jaggery","vegetarian",15,75,"sweet","dessert","Andhra Pradesh","South"
"Ariselu","ghee","vegetarian",15,75,"sweet","dessert","Andhra Pradesh","South"
"Bandar laddu","Besan","vegetarian",5,35,"sweet","dessert","Andhra Pradesh","South"
"Bandar laddu","jaggery","vegetarian",5,35,"sweet","dessert","Andhra Pradesh","South"
"Bandar laddu","cardamom powder","vegetarian",5,35,"sweet","dessert","Andhra Pradesh","South"
"Bandar laddu","ghee","vegetarian",5,35,"sweet","dessert","Andhra Pradesh","South"
"Bandar laddu","cashews and raisins","vegetarian",5,35,"sweet","dessert","Andhra Pradesh","South"
"Bandar laddu","jaggery syrup","vegetarian",5,35,"sweet","dessert","Andhra Pradesh","South"
"Bandar laddu","sugar","vegetarian",5,35,"sweet","dessert","Andhra Pradesh","South"
"Chikki","Peanuts","vegetarian",10,20,"sweet","dessert","Maharashtra","West"
"Chikki","jaggery","vegetarian",10,20,"sweet","dessert","Maharashtra","West"
"Dharwad pedha","Milk","vegetarian",20,60,"sweet","dessert","Karnataka","South"
"Dharwad pedha","Sugar","vegetarian",20,60,"sweet","dessert","Karnataka","South"
"Dharwad pedha","Dharwadi buffalo milk","vegetarian",20,60,"sweet","dessert","Karnataka","South"
"Double ka meetha","Loaf bread","vegetarian",20,30,"sweet","dessert","Telangana","South"
"Double ka meetha","milk","vegetarian",20,30,"sweet","dessert","Telangana","South"
"Gavvalu","Rice flour","vegetarian",10,30,"sweet","dessert","Andhra Pradesh","South"
"Gavvalu","sugar","vegetarian",10,30,"sweet","dessert","Andhra Pradesh","South"
"Gavvalu","salt","vegetarian",10,30,"sweet","dessert","Andhra Pradesh","South"
"Gavvalu","ghee","vegetarian",10,30,"sweet","dessert","Andhra Pradesh","South"
"Gavvalu","semolina","vegetarian",10,30,"sweet","dessert","Andhra Pradesh","South"
"Kakinada khaja","Wheat flour","vegetarian",10,30,"sweet","dessert","Andhra Pradesh","South"
"Kakinada khaja","sugar","vegetarian",10,30,"sweet","dessert","Andhra Pradesh","South"
"Kuzhi paniyaram","Black lentils","vegetarian",10,20,"sweet","dessert","Kerala","South"
"Kuzhi paniyaram","rice","vegetarian",10,20,"sweet","dessert","Kerala","South"
"Mysore pak","Besan flour","vegetarian",5,20,"sweet","dessert","Karnataka","South"
"Mysore pak","semolina","vegetarian",5,20,"sweet","dessert","Karnataka","South"
"Mysore pak","mung bean","vegetarian",5,20,"sweet","dessert","Karnataka","South"
"Mysore pak","jaggery","vegetarian",5,20,"sweet","dessert","Karnataka","South"
"Mysore pak","coconut","vegetarian",5,20,"sweet","dessert","Karnataka","South"
"Mysore pak","skimmed milk powder","vegetarian",5,20,"sweet","dessert","Karnataka","South"
